<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090029;101070.000000000;5
SPFB.RTS;0;20230428;090029;101060.000000000;1
SPFB.RTS;0;20230428;090031;101050.000000000;1
SPFB.RTS;0;20230428;090034;101050.000000000;4
SPFB.RTS;0;20230428;090034;101050.000000000;1
SPFB.RTS;0;20230428;090034;101050.000000000;2
SPFB.RTS;0;20230428;090035;101040.000000000;2
SPFB.RTS;0;20230428;090035;101040.000000000;1
SPFB.RTS;0;20230428;090035;101040.000000000;1
SPFB.RTS;0;20230428;090038;101050.000000000;1
SPFB.RTS;0;20230428;090038;101050.000000000;1
SPFB.RTS;0;20230428;090039;101050.000000000;1
SPFB.RTS;0;20230428;090040;101050.000000000;1
SPFB.RTS;0;20230428;090040;101060.000000000;1
SPFB.RTS;0;20230428;090040;101060.000000000;1
SPFB.RTS;0;20230428;090042;101070.000000000;1
SPFB.RTS;0;20230428;090042;101070.000000000;1
SPFB.RTS;0;20230428;090042;101070.000000000;1
SPFB.RTS;0;20230428;090042;101080.000000000;1
SPFB.RTS;0;20230428;090043;101060.000000000;1
SPFB.RTS;0;20230428;090043;101050.000000000;1
SPFB.RTS;0;20230428;090043;101050.000000000;2
SPFB.RTS;0;20230428;090043;101050.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;2
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090043;101040.000000000;1
SPFB.RTS;0;20230428;090044;101040.000000000;1
SPFB.RTS;0;20230428;090045;101030.000000000;1
SPFB.RTS;0;20230428;090045;101030.000000000;1
SPFB.RTS;0;20230428;090045;101030.000000000;1
SPFB.RTS;0;20230428;090045;101020.000000000;1
SPFB.RTS;0;20230428;090045;101030.000000000;1
SPFB.RTS;0;20230428;090046;101040.000000000;2
SPFB.RTS;0;20230428;090046;101040.000000000;3
SPFB.RTS;0;20230428;090046;101040.000000000;16
SPFB.RTS;0;20230428;090046;101040.000000000;5
SPFB.RTS;0;20230428;090046;101040.000000000;1
SPFB.RTS;0;20230428;090047;101040.000000000;8
SPFB.RTS;0;20230428;090047;101040.000000000;4
SPFB.RTS;0;20230428;090047;101040.000000000;2
SPFB.RTS;0;20230428;090047;101030.000000000;1
SPFB.RTS;0;20230428;090047;101030.000000000;2
SPFB.RTS;0;20230428;090047;101030.000000000;1
SPFB.RTS;0;20230428;090047;101050.000000000;1
SPFB.RTS;0;20230428;090048;101040.000000000;1
SPFB.RTS;0;20230428;090049;101040.000000000;1
SPFB.RTS;0;20230428;090049;101030.000000000;1
SPFB.RTS;0;20230428;090049;101030.000000000;1
SPFB.RTS;0;20230428;090049;101030.000000000;1
SPFB.RTS;0;20230428;090049;101030.000000000;1
SPFB.RTS;0;20230428;090051;101050.000000000;5
SPFB.RTS;0;20230428;090053;101050.000000000;5
SPFB.RTS;0;20230428;090053;101050.000000000;1
SPFB.RTS;0;20230428;090054;101030.000000000;1
SPFB.RTS;0;20230428;090056;101060.000000000;1
SPFB.RTS;0;20230428;090057;101060.000000000;1
SPFB.RTS;0;20230428;090057;101070.000000000;1
SPFB.RTS;0;20230428;090057;101070.000000000;1
SPFB.RTS;0;20230428;090057;101070.000000000;2
SPFB.RTS;0;20230428;090057;101080.000000000;1
SPFB.RTS;0;20230428;090057;101080.000000000;1
SPFB.RTS;0;20230428;090057;101080.000000000;2
SPFB.RTS;0;20230428;090057;101080.000000000;2
SPFB.RTS;0;20230428;090057;101080.000000000;1
SPFB.RTS;0;20230428;090057;101080.000000000;1
SPFB.RTS;0;20230428;090057;101080.000000000;1
SPFB.RTS;0;20230428;090057;101090.000000000;2
SPFB.RTS;0;20230428;090057;101090.000000000;3
SPFB.RTS;0;20230428;090057;101090.000000000;1
